time,total_gpu_num,idle_gpu_num,pending_gpu_num,running_gpujob_num,pending_gpujob_num,pending_job_num_less_8,total_node_num,consolidate_node_num,shared_node_num,sm_util,gmem_util,sm_util_active,gmem_util_active,gpu_utilization
13219200,1080,1080,0,0,0,0,135,0,0,0,0,0,0,0.0
13219260,1080,1079,0,1,0,0,135,1,0,0,50,62,3642,0.001
13219320,1080,1070,0,3,0,0,135,1,1,1,79,36,2846,0.009
13219380,1080,1039,0,3,0,0,135,6,0,15,1076,28,2296,0.038
13219440,1080,1039,0,3,0,0,135,6,0,15,1082,35,2388,0.038
13219500,1080,1038,0,4,0,0,135,5,1,16,1121,35,2413,0.039
13219560,1080,1039,0,3,0,0,135,6,0,15,1086,36,2438,0.038
13219620,1080,1003,0,5,0,0,135,11,0,24,2047,28,2274,0.071
13219680,1080,1034,0,5,0,0,135,6,1,3,3164,10,6044,0.043
13219740,1080,1067,0,3,0,0,135,3,0,0,32,24,2308,0.012
13219800,1080,1035,0,4,0,0,135,7,0,3,2049,13,4127,0.042
13219860,1080,1035,0,4,0,0,135,7,0,4,4689,15,8880,0.042
13219920,1080,1035,0,4,0,0,135,7,0,5,4697,26,8993,0.042
13219980,1080,1038,0,4,0,0,135,5,1,5,4732,21,8937,0.039
13220040,1080,1007,0,4,0,0,135,10,0,5,5149,9,5393,0.068
13220100,1080,1031,0,4,0,0,135,7,0,2,2042,7,4035,0.045
13220160,1080,1030,0,5,0,0,135,6,1,3,2071,7,4036,0.046
13220220,1080,1031,0,4,0,0,135,7,0,2,2042,7,4037,0.045
13220280,1080,1031,0,4,0,0,135,7,0,3,2056,18,4227,0.045
13220340,1080,1030,0,5,0,0,135,6,1,4,2090,16,4177,0.046
13220400,1080,1031,0,4,0,0,135,7,0,3,2049,13,4127,0.045
13220460,1080,1039,0,3,0,0,135,6,0,3,2055,16,4224,0.038
13220520,1080,1039,0,3,0,0,135,6,0,3,2055,16,4224,0.038
13220580,1080,1039,0,3,0,0,135,6,0,3,2049,13,4127,0.038
13220640,1080,1030,0,5,0,0,135,6,1,3,2081,13,4109,0.046
13220700,1080,1031,0,4,0,0,135,7,0,9,999,24,2206,0.045
13220760,1080,1031,0,4,0,0,135,7,0,9,995,18,2151,0.045
13220820,1080,1030,0,5,0,0,135,6,1,10,1037,24,2246,0.046
13220880,1080,1031,0,4,0,0,135,7,0,10,1008,30,2342,0.045
13220940,1080,1031,0,4,0,0,135,7,0,9,1005,26,2293,0.045
13221000,1080,1030,0,5,0,0,135,6,1,10,1034,22,2222,0.046
13221060,1080,1031,0,4,0,0,135,7,0,9,995,19,2152,0.045
13221120,1080,1031,0,4,0,0,135,7,0,9,999,23,2212,0.045
13221180,1080,1031,0,4,0,0,135,7,0,9,999,23,2212,0.045
13221240,1080,1031,0,4,0,0,135,7,0,9,995,18,2151,0.045
13221300,1080,1030,0,5,0,0,135,6,1,10,1037,23,2245,0.046
13221360,1080,1031,0,4,0,0,135,7,0,9,1008,27,2339,0.045
13221420,1080,1031,0,4,0,0,135,7,0,9,999,22,2204,0.045
13221480,1080,1030,0,5,0,0,135,6,1,9,1027,20,2178,0.046
13221540,1080,1031,0,4,0,0,135,7,0,9,995,19,2152,0.045
13221600,1080,1031,0,4,0,0,135,7,0,9,999,22,2204,0.045
13221660,1080,1031,0,4,0,0,135,7,0,9,999,22,2204,0.045
13221720,1080,1031,0,4,0,0,135,7,0,9,995,19,2152,0.045
13221780,1080,1030,0,5,0,0,135,6,1,10,1028,23,2182,0.046
13221840,1080,1031,0,4,0,0,135,7,0,9,999,28,2212,0.045
13221900,1080,1031,0,4,0,0,135,7,0,9,995,19,2152,0.045
13221960,1080,1031,0,4,0,0,135,7,0,9,995,19,2152,0.045
13222020,1080,1031,0,4,0,0,135,7,0,9,997,20,2176,0.045
13222080,1080,1030,0,5,0,0,135,6,1,9,1029,22,2191,0.046
13222140,1080,1031,0,4,0,0,135,7,0,9,999,24,2206,0.045
13222200,1080,1031,0,4,0,0,135,7,0,9,1016,23,2458,0.045
13222260,1080,1030,0,5,0,0,135,6,1,9,1049,22,2330,0.046
13222320,1080,1031,0,4,0,0,135,7,0,9,999,21,2202,0.045
13222380,1080,1031,0,4,0,0,135,7,0,9,999,28,2212,0.045
13222440,1080,1029,0,5,0,0,135,6,1,11,1064,25,2208,0.047
13222500,1080,1029,0,5,0,0,135,6,1,11,1088,28,2323,0.047
13222560,1080,1028,0,6,0,0,135,6,1,11,1120,26,2293,0.048
13222620,1080,1031,0,4,0,0,135,7,0,9,999,21,2202,0.045
13222680,1080,1031,0,4,0,0,135,7,0,9,995,18,2151,0.045
13222740,1080,1030,0,5,0,0,135,6,1,9,1024,18,2151,0.046
13222800,1080,1025,0,7,0,0,135,6,1,12,1185,22,2190,0.051
13222860,1080,1023,0,8,0,0,135,7,1,19,2348,35,4099,0.053
13222920,1080,1023,0,8,0,0,135,7,1,19,2348,35,4099,0.053
13222980,1080,1023,0,8,0,0,135,7,1,19,2353,34,4107,0.053
13223040,1080,1025,0,7,0,0,135,6,1,11,3334,23,6341,0.051
13223100,1080,1026,0,6,0,0,135,6,1,11,3287,24,6681,0.05
13223160,1080,1026,0,6,0,0,135,6,1,11,3287,24,6681,0.05
13223220,1080,1025,0,7,0,0,135,6,1,12,3330,24,6332,0.051
13223280,1080,1025,0,7,0,0,135,6,1,12,3330,24,6332,0.051
13223340,1080,1025,0,7,0,0,135,6,1,11,3316,22,6303,0.051
13223400,1080,1024,0,8,0,0,135,6,1,12,3348,21,6027,0.052
13223460,1080,1025,0,7,0,0,135,6,1,11,3320,23,6312,0.051
13223520,1080,1025,0,7,0,0,135,6,1,11,3316,22,6303,0.051
13223580,1080,1025,0,7,0,0,135,6,1,11,3316,22,6303,0.051
13223640,1080,1025,0,7,0,0,135,6,1,11,3319,22,6311,0.051
13223700,1080,1024,0,8,0,0,135,6,1,15,2249,28,4048,0.052
13223760,1080,1025,0,7,0,0,135,6,1,15,2217,29,4326,0.051
13223820,1080,1024,0,8,0,0,135,7,1,15,2213,29,4318,0.052
13223880,1080,1023,0,9,0,0,135,7,1,15,2268,28,4083,0.053
13223940,1080,1022,0,9,0,0,135,8,1,15,2332,26,4200,0.054
13224000,1080,1023,0,8,0,0,135,7,1,15,2315,26,4171,0.053
13224060,1080,1023,0,8,0,0,135,7,1,15,2315,26,4171,0.053
13224120,1080,1026,0,6,0,0,135,6,1,14,2184,31,4696,0.05
13224180,1080,1026,0,6,0,0,135,6,1,14,2184,31,4696,0.05
13224240,1080,1025,0,7,0,0,135,6,1,15,2220,30,4332,0.051
13224300,1080,1025,0,7,0,0,135,6,1,15,2220,30,4332,0.051
13224360,1080,1057,0,6,0,0,135,2,1,8,1305,89,13429,0.021
13224420,1080,1024,0,8,0,0,135,6,1,53,3150,95,5670,0.052
13224480,1080,1057,0,6,0,0,135,2,1,8,1305,91,13430,0.021
13224540,1080,1057,0,6,0,0,135,2,1,8,1301,87,13390,0.021
13224600,1080,1057,0,6,0,0,135,2,1,8,1301,87,13390,0.021
13224660,1080,993,0,8,0,0,135,10,1,29,3275,30,3462,0.081
13224720,1080,1024,0,8,0,0,135,6,1,25,2403,45,4325,0.052
13224780,1080,1025,0,7,0,0,135,6,1,24,2370,46,4604,0.051
13224840,1080,1025,0,7,0,0,135,6,1,24,2360,45,4583,0.051
13224900,1080,880,0,10,0,0,135,24,1,24,2393,44,4307,0.185
13224960,1080,881,0,9,0,0,135,24,1,24,2364,46,4592,0.184
13225020,1080,881,0,9,0,0,135,24,1,24,2373,46,4610,0.184
13225080,1080,880,0,10,0,0,135,24,1,24,2403,44,4326,0.185
13225140,1080,881,0,9,0,0,135,24,1,24,2362,45,4587,0.184
13225200,1080,881,0,9,0,0,135,24,1,24,2369,46,4601,0.184
13225260,1080,881,0,9,0,0,135,24,1,24,2369,46,4601,0.184
13225320,1080,881,0,9,0,0,135,24,1,24,2379,46,4621,0.184
