,fifo_consolidate,lucid_consolidate,qssf_consolidate,sjf_consolidate,srtf_consolidate,tiresias_consolidate
vcEwI,110314,8302,8180,21483,4692,5052
vcWoR,83030,10633,14756,16782,8379,12654
vcHvQ,28376,7863,8107,15122,7649,7753
vcvGl,18496,4921,4973,5302,5056,11357
vc8Gr,17049,32628,17049,17049,17010,17057
vcKeu,29684,22244,19345,18175,13601,17355
vcKrE,77778,76823,77058,77169,76646,76904
vcYVn,96398,19951,22273,27382,17624,27136
vchbv,37272,36868,37382,36944,37928,36580
vcLTP,35348,34365,33499,33626,32545,33342
vchA3,41485,39405,38953,39397,39233,39057
vcJsw,25832,17886,18409,18792,16384,17541
vcefl,33765,48015,32788,33132,32755,32966
vcvlY,9667,9692,9667,9667,9667,9679
vcgkz,91605,91719,91605,91605,91621,91967
all,65720,16080,15548,21095,12609,14700
