job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
765472,ucpfn,vcEwI,,1,1,COMPLETED,13219203,97,CIFAR-10,ResNet18,64,1,4038.576,62.0,34.0,3642.0,0,13219203.0,13219300.0,0,0.0,0,end,[{0: [0]}],-1,0,1,0.0,1,1,1,,0,0
765473,ucpfn,vcEwI,,1,1,COMPLETED,13219300,92,MovieLens,NeuMF,128,0,29773.989,10.483,2.011,2050.0,0,13219300.0,13219392.0,0,0.0,0,end,[{0: [0]}],-1,0,1,0.0,1,1,1,,0,0
765474,upQci,vcHvQ,,8,1,COMPLETED,13219304,7643,BipedalWalker,TD3,128,0,67.445,14.089,0.0,2059.0,7643,13219304.0,13219504.0,0,0.0,0,,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,1,0.0,0,1,1,,0,0
765475,ujQmo,vcEwI,,32,32,CANCELLED,13219332,261,CIFAR-10,EfficientNet,128,1,2802.744,33.571,7.286,2358.0,261,9.223372036854776e+18,9.223372036854776e+18,0,0.0,0,,[],-1,0,0,0.0,0,1,1,,0,0
765476,ucpfn,vcEwI,,1,1,COMPLETED,13219392,94,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,13219392.0,13219486.0,0,0.0,0,end,[{0: [0]}],-1,0,1,0.0,1,1,1,,0,0
765477,ucpfn,vcEwI,,1,1,COMPLETED,13219486,96,CIFAR-10,VGG,32,1,3556.88,48.0,19.0,2762.0,0,13219486.0,13219582.0,0,0.0,0,end,[{0: [0]}],-1,0,1,0.0,1,1,1,,0,0
765478,ujQmo,vcEwI,,32,32,FAILED,13219569,11,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,11,9.223372036854776e+18,9.223372036854776e+18,0,0.0,0,,[],-1,0,0,0.0,0,1,1,,0,0
765479,ucpfn,vcEwI,,1,1,COMPLETED,13219582,93,CIFAR-10,ResNet18,32,1,1649.038,40.667,20.333,2330.0,0,13219582.0,13219675.0,0,0.0,0,end,[{0: [0]}],-1,0,1,0.0,1,1,1,,0,0
765480,uXCms,vcHvQ,,4,1,CANCELLED,13219590,334,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,334,13219590.0,13219790.0,0,0.0,0,,"[{0: [1, 2, 3, 4]}]",-1,0,1,0.0,0,1,1,,0,0
765481,ujQmo,vcEwI,,32,32,FAILED,13219655,50,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,50,9.223372036854776e+18,9.223372036854776e+18,0,0.0,0,,[],-1,0,0,0.0,0,1,1,,0,0
