,fifo_consolidate,lucid_consolidate,qssf_consolidate,sjf_consolidate,srtf_consolidate,tiresias_consolidate
vcEwI,106182,4173,4047,17351,549,910
vcWoR,75871,3486,7597,9623,1206,5467
vcHvQ,21286,895,1017,8032,547,649
vcvGl,13890,318,368,696,433,6725
vc8Gr,68,15681,68,68,25,72
vcKeu,17763,10630,7424,6254,1673,5425
vcKrE,1474,523,754,865,340,594
vcYVn,79536,3152,5412,10521,759,10260
vchbv,5205,4946,5314,4876,5843,4491
vcLTP,4646,3785,2798,2925,1834,2626
vchA3,3765,1694,1233,1677,1501,1313
vcJsw,10253,2324,2830,3214,789,1939
vcefl,1181,15469,205,548,168,376
vcvlY,360,444,360,360,355,366
vcgkz,3220,3421,3220,3220,3231,3566
all,53951,4369,3779,9325,829,2915
