job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
765615,udMuO,vc8Gr,,16,16,COMPLETED,13229141,20984,Wikitext2,LSTM,64,1,4495.889,73.625,60.0,3750.0,0,13229160.0,13250145.0,0,19.0,21004.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",335744,0,0,0,0,1,1,,0,0
765622,udMuO,vc8Gr,,8,1,COMPLETED,13250125,5780,CIFAR-10,EfficientNet,128,0,3465.072,44.833,16.167,2580.0,0,13250160.0,13255941.0,0,35.0,5816.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",46240,0,0,0,0,1,1,,0,0
765740,udMuO,vc8Gr,,16,16,COMPLETED,13258691,2374,LunarLander,PPO,32,0,5.156,12.425,0.0,2051.0,0,13258740.0,13261115.0,0,49.0,2424.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",37984,0,0,0,0,1,1,,0,0
765812,udMuO,vc8Gr,,16,16,COMPLETED,13261065,208,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,13261080.0,13261289.0,0,15.0,224.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",3328,0,0,0,0,1,1,,0,0
765815,udMuO,vc8Gr,,16,16,COMPLETED,13261273,1842,ShapeNet,PointNet,64,0,138.049,7.75,6.571,6346.0,0,13261320.0,13263163.0,0,47.0,1890.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",29472,0,0,0,0,1,1,,0,0
765843,udMuO,vc8Gr,,8,1,COMPLETED,13263115,641,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,13263120.0,13263762.0,0,5.0,647.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",5128,0,0,0,0,1,1,,0,0
766190,udMuO,vc8Gr,,16,16,COMPLETED,13281094,197,ShapeNet,PointNet,64,0,138.049,7.75,6.571,6346.0,0,13281120.0,13281318.0,0,26.0,224.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",3152,0,0,0,0,1,1,,0,0
766199,udMuO,vc8Gr,,16,16,COMPLETED,13281291,183,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,13281300.0,13281484.0,0,9.0,193.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",2928,0,0,0,0,1,1,,0,0
766206,udMuO,vc8Gr,,16,16,COMPLETED,13281474,2396,MovieLens,NeuMF,128,0,29773.989,10.483,2.011,2050.0,0,13281480.0,13283877.0,0,6.0,2403.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",38336,0,0,0,0,1,1,,0,0
766255,udMuO,vc8Gr,,16,16,COMPLETED,13283870,2394,LunarLander,PPO,32,0,5.156,12.425,0.0,2051.0,0,13283880.0,13286275.0,0,10.0,2405.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",38304,0,0,0,0,1,1,,0,0
766292,udMuO,vc8Gr,,8,1,COMPLETED,13286264,106,CIFAR-10,MobileNetV2,128,1,2866.76,55.714,28.286,2992.0,0,13286280.0,13286387.0,0,16.0,123.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",848,0,0,0,0,1,1,,0,0
766295,udMuO,vc8Gr,,16,16,COMPLETED,13286372,2334,BipedalWalker,TD3,32,0,16.292,12.828,0.0,2059.0,0,13286400.0,13288735.0,0,28.0,2363.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",37344,0,0,0,0,1,1,,0,0
766356,udMuO,vc8Gr,,16,16,COMPLETED,13288706,195,LunarLander,PPO,32,0,5.156,12.425,0.0,2051.0,0,13288740.0,13288936.0,0,34.0,230.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",3120,0,0,0,0,1,1,,0,0
766362,udMuO,vc8Gr,,8,1,COMPLETED,13288901,182,CIFAR-10,MobileNetV2,128,0,3516.037,98.833,65.333,4078.0,0,13288920.0,13289103.0,0,19.0,202.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",1456,0,0,0,0,1,1,,0,0
766369,udMuO,vc8Gr,,16,16,COMPLETED,13289086,199,CIFAR-10,MobileNetV2,128,0,3516.037,98.833,65.333,4078.0,0,13289100.0,13289300.0,0,14.0,214.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",3184,0,0,0,0,1,1,,0,0
