job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
765474,upQci,vcHvQ,,8,1,COMPLETED,13219304,7643,BipedalWalker,TD3,128,0,67.445,14.089,0.0,2059.0,0,13219304.0,13226947.0,0,0.0,7643.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765480,uXCms,vcHvQ,,4,1,CANCELLED,13219590,334,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,13219590.0,13219924.0,0,0.0,334.0,end,"[{1: [0, 1, 2, 3]}]",-1,0,0,0,0,1,1,,0,0
765632,uaxcW,vcHvQ,,32,32,COMPLETED,13252448,26,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,13252448.0,13252474.0,0,0.0,26.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765636,uaxcW,vcHvQ,,32,32,FAILED,13252558,15,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,13252558.0,13252573.0,0,0.0,15.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765637,uaxcW,vcHvQ,,32,32,FAILED,13252641,14,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,13252641.0,13252655.0,0,0.0,14.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765639,uaxcW,vcHvQ,,32,32,FAILED,13252801,25,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,13252801.0,13252826.0,0,0.0,25.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765641,uaxcW,vcHvQ,,32,32,FAILED,13252926,20,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,13252926.0,13252946.0,0,0.0,20.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765642,uaxcW,vcHvQ,,16,16,FAILED,13252976,24,BipedalWalker,TD3,64,0,59.807,13.303,0.0,2059.0,0,13252976.0,13253000.0,0,0.0,24.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765643,uaxcW,vcHvQ,,32,32,FAILED,13253033,21,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,13253033.0,13253054.0,0,0.0,21.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765644,uaxcW,vcHvQ,,32,32,CANCELLED,13253091,35,ShapeNet,PointNet,64,0,138.049,7.75,6.571,6346.0,0,13253091.0,13253126.0,0,0.0,35.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
