job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
765474,upQci,vcHvQ,,8,1,COMPLETED,13219304,7643,BipedalWalker,TD3,128,0,67.445,14.089,0.0,2059.0,0,13219320.0,13226964.0,0,16.0,7660.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",61144,0,0,0,0,1,1,,0,0
765480,uXCms,vcHvQ,,4,1,CANCELLED,13219590,334,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,13219620.0,13219955.0,0,30.0,365.0,end,"[{1: [0, 1, 2, 3]}]",1336,0,0,0,0,1,1,,0,0
765632,uaxcW,vcHvQ,,32,32,COMPLETED,13252448,26,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,13252500.0,13252527.0,0,52.0,79.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",832,0,0,0,0,1,1,,0,0
765636,uaxcW,vcHvQ,,32,32,FAILED,13252558,15,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,13252560.0,13252576.0,0,2.0,18.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",480,0,0,0,0,1,1,,0,0
765637,uaxcW,vcHvQ,,32,32,FAILED,13252641,14,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,13252680.0,13252695.0,0,39.0,54.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",448,0,0,0,0,1,1,,0,0
765639,uaxcW,vcHvQ,,32,32,FAILED,13252801,25,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,13252860.0,13252886.0,0,59.0,85.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",800,0,0,0,0,1,1,,0,0
765641,uaxcW,vcHvQ,,32,32,FAILED,13252926,20,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,13252980.0,13253001.0,0,54.0,75.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",640,0,0,0,0,1,1,,0,0
765642,uaxcW,vcHvQ,,16,16,FAILED,13252976,24,BipedalWalker,TD3,64,0,59.807,13.303,0.0,2059.0,0,13252980.0,13253005.0,0,4.0,29.0,end,"[{4: [0, 1, 2, 3, 4, 5, 6, 7]}, {5: [0, 1, 2, 3, 4, 5, 6, 7]}]",384,0,0,0,0,1,1,,0,0
765643,uaxcW,vcHvQ,,32,32,FAILED,13253033,21,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,13253040.0,13253062.0,0,7.0,29.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",672,0,0,0,0,1,1,,0,0
765644,uaxcW,vcHvQ,,32,32,CANCELLED,13253091,35,ShapeNet,PointNet,64,0,138.049,7.75,6.571,6346.0,0,13253100.0,13253136.0,0,9.0,45.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",1120,0,0,0,0,1,1,,0,0
