job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
765885,uP2iB,vcJsw,,32,160,COMPLETED,13266710,124,ShapeNet,PointNet,64,0,138.049,7.75,6.571,6346.0,0,13266710.0,13266835.0,0,0.0,125.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765895,uP2iB,vcJsw,,32,160,CANCELLED,13267079,77514,ImageNet,MobileNetV3,32,1,978.255,34.966,7.931,2382.0,0,13267079.0,13344594.0,0,0.0,77515.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765918,uruNe,vcJsw,,8,24,CANCELLED,13268731,414,CIFAR-10,MobileNetV2,64,1,1710.877,41.833,16.167,2528.0,0,13268731.0,13269146.0,0,0.0,415.0,end,"[{4: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765924,uruNe,vcJsw,,8,24,CANCELLED,13269156,134,BipedalWalker,TD3,32,0,16.292,12.828,0.0,2059.0,0,13269156.0,13269291.0,0,0.0,135.0,end,"[{4: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765927,uruNe,vcJsw,,8,24,CANCELLED,13269308,183,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,13269308.0,13269492.0,0,0.0,184.0,end,"[{4: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765932,uruNe,vcJsw,,8,24,CANCELLED,13269506,525,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,13269506.0,13270032.0,0,0.0,526.0,end,"[{4: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765967,uJjMX,vcJsw,,8,40,COMPLETED,13271278,196,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,13271278.0,13271475.0,0,0.0,197.0,end,"[{4: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765976,uJjMX,vcJsw,,8,40,CANCELLED,13271544,131,CIFAR-10,EfficientNet,64,1,1371.123,25.5,3.167,2290.0,0,13271544.0,13271676.0,0,0.0,132.0,end,"[{4: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765982,uJjMX,vcJsw,,8,40,CANCELLED,13271675,2,CIFAR-10,EfficientNet,128,1,2802.744,33.571,7.286,2358.0,0,13271675.0,13271678.0,0,0.0,3.0,end,"[{5: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765983,uJjMX,vcJsw,,8,40,CANCELLED,13271677,1,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,13271677.0,13271679.0,0,0.0,2.0,end,"[{4: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765984,uJjMX,vcJsw,,8,40,COMPLETED,13271684,259,ShapeNet,PointNet,64,0,138.049,7.75,6.571,6346.0,0,13271684.0,13271944.0,0,0.0,260.0,end,"[{4: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765990,uJjMX,vcJsw,,8,40,COMPLETED,13271943,246,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,13271943.0,13272190.0,0,0.0,247.0,end,"[{5: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765998,uJjMX,vcJsw,,8,40,CANCELLED,13272190,110,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,13272190.0,13272301.0,0,0.0,111.0,end,"[{4: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
766003,uJjMX,vcJsw,,8,40,COMPLETED,13272300,217,LunarLander,PPO,128,0,46.507,14.96,0.0,2051.0,0,13272300.0,13272518.0,0,0.0,218.0,end,"[{5: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
766010,uJjMX,vcJsw,,8,40,COMPLETED,13272517,209,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,13272517.0,13272727.0,0,0.0,210.0,end,"[{4: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
766014,uJjMX,vcJsw,,8,40,COMPLETED,13272726,210,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,13272726.0,13272937.0,0,0.0,211.0,end,"[{5: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
766018,uJjMX,vcJsw,,8,40,COMPLETED,13272936,213,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,13272936.0,13273150.0,0,0.0,214.0,end,"[{4: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
766022,uJjMX,vcJsw,,8,40,COMPLETED,13273150,217,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,13273150.0,13273368.0,0,0.0,218.0,end,"[{4: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
