job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
765491,upQci,vcKeu,,8,1,FAILED,13220098,329,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,13220100.0,13220430.0,0,2.0,332.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",2632,0,0,0,0,1,1,,0,0
765548,ueztx,vcKeu,,1,3,FAILED,13223786,131,MovieLens,NeuMF,128,0,29773.989,10.483,2.011,2050.0,0,13223820.0,13223952.0,0,34.0,166.0,end,[{0: [0]}],131,0,0,0,0,1,1,,0,0
765626,uMkwz,vcKeu,,1,1,FAILED,13251831,199,CIFAR-10,EfficientNet,128,0,3465.072,44.833,16.167,2580.0,0,13251840.0,13252040.0,0,9.0,209.0,end,[{0: [0]}],199,0,0,0,0,1,1,,0,0
765634,uMkwz,vcKeu,,1,1,CANCELLED,13252482,25,CIFAR-10,VGG,32,0,2998.72,44.0,23.0,3386.0,0,13252500.0,13252526.0,0,18.0,44.0,end,[{0: [0]}],25,0,0,0,0,1,1,,0,0
765638,uMkwz,vcKeu,,1,1,FAILED,13252647,148,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,13252680.0,13252829.0,0,33.0,182.0,end,[{0: [0]}],148,0,0,0,0,1,1,,0,0
765646,uMkwz,vcKeu,,1,1,FAILED,13253333,22,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,13253340.0,13253363.0,0,7.0,30.0,end,[{0: [0]}],22,0,0,0,0,1,1,,0,0
765647,uMkwz,vcKeu,,1,1,CANCELLED,13253381,135,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,13253400.0,13253536.0,0,19.0,155.0,end,[{0: [0]}],135,0,0,0,0,1,1,,0,0
765648,uMkwz,vcKeu,,1,1,FAILED,13253539,196,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,13253580.0,13253777.0,0,41.0,238.0,end,[{0: [0]}],196,0,0,0,0,1,1,,0,0
765653,uMkwz,vcKeu,,1,1,FAILED,13254200,116,CIFAR-10,MobileNetV2,64,1,1710.877,41.833,16.167,2528.0,0,13254240.0,13254357.0,0,40.0,157.0,end,[{0: [0]}],116,0,0,0,0,1,1,,0,0
765659,uMkwz,vcKeu,,1,1,CANCELLED,13254476,718,CIFAR-10,ResNet18,32,1,1649.038,40.667,20.333,2330.0,0,13254480.0,13255199.0,0,4.0,723.0,end,[{0: [0]}],718,0,0,0,0,1,1,,0,0
765680,uMkwz,vcKeu,,1,1,COMPLETED,13255642,794,CIFAR-10,EfficientNet,128,0,3465.072,44.833,16.167,2580.0,0,13255680.0,13256475.0,0,38.0,833.0,end,[{0: [0]}],794,0,0,0,0,1,1,,0,0
765681,ueztx,vcKeu,,1,3,FAILED,13255680,62791,SQuAD,BERT,32,0,84.872,99.689,62.484,20162.0,0,13255680.0,13318472.0,0,0.0,62792.0,end,[{0: [1]}],62791,0,0,0,0,1,1,,0,0
765687,u3sez,vcKeu,,16,16,COMPLETED,13256221,4698,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,13256280.0,13260979.0,0,59.0,4758.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}]",75168,0,0,0,0,1,1,,0,0
765702,u3sez,vcKeu,,24,24,CANCELLED,13257538,8,CIFAR-10,MobileNetV2,128,1,2866.76,55.714,28.286,2992.0,0,13257540.0,13257549.0,0,2.0,11.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}, {4: [0, 1, 2, 3, 4, 5, 6, 7]}, {5: [0, 1, 2, 3, 4, 5, 6, 7]}]",192,0,0,0,0,1,1,,0,0
765703,u3sez,vcKeu,,24,24,CANCELLED,13257590,8117,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,13257600.0,13265718.0,0,10.0,8128.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}, {4: [0, 1, 2, 3, 4, 5, 6, 7]}, {5: [0, 1, 2, 3, 4, 5, 6, 7]}]",194808,0,0,0,0,1,1,,0,0
765762,uy2fs,vcKeu,,32,192,COMPLETED,13259592,21114,Multi30k,Transformer,64,0,857.9,75.164,31.806,11801.104,0,13259640.0,13280755.0,0,48.0,21163.0,end,"[{6: [0, 1, 2, 3, 4, 5, 6, 7]}, {7: [0, 1, 2, 3, 4, 5, 6, 7]}, {8: [0, 1, 2, 3, 4, 5, 6, 7]}, {9: [0, 1, 2, 3, 4, 5, 6, 7]}]",675648,0,0,0,0,1,1,,0,0
765782,uMkwz,vcKeu,,1,1,FAILED,13260015,2,CIFAR-10,MobileNetV2,128,0,3516.037,98.833,65.333,4078.0,0,13260060.0,13260063.0,0,45.0,48.0,end,[{0: [0]}],2,0,0,0,0,1,1,,0,0
765866,u3sez,vcKeu,,16,16,COMPLETED,13265671,4437,ShapeNet,PointNet,64,0,138.049,7.75,6.571,6346.0,0,13265700.0,13270138.0,0,29.0,4467.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}]",70992,0,0,0,0,1,1,,0,0
765867,u3sez,vcKeu,,24,24,CANCELLED,13265772,578,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,13265820.0,13266399.0,0,48.0,627.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}, {4: [0, 1, 2, 3, 4, 5, 6, 7]}, {5: [0, 1, 2, 3, 4, 5, 6, 7]}]",13872,0,0,0,0,1,1,,0,0
765878,u3sez,vcKeu,,24,24,COMPLETED,13266421,228541,SQuAD,BERT,32,1,119.911,99.593,74.23,16334.0,0,13266480.0,13495022.0,0,59.0,228601.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}, {4: [0, 1, 2, 3, 4, 5, 6, 7]}, {5: [0, 1, 2, 3, 4, 5, 6, 7]}]",5484984,0,0,0,0,1,1,,0,0
765946,ueztx,vcKeu,,1,1,COMPLETED,13269929,4137,BipedalWalker,TD3,32,0,16.292,12.828,0.0,2059.0,0,13269960.0,13274098.0,0,31.0,4169.0,end,[{0: [0]}],4137,0,0,0,0,1,1,,0,0
766045,ueztx,vcKeu,,1,1,COMPLETED,13274245,4140,LunarLander,PPO,32,0,5.156,12.425,0.0,2051.0,0,13274280.0,13278421.0,0,35.0,4176.0,end,[{0: [0]}],4140,0,0,0,0,1,1,,0,0
766112,uG1s0,vcKeu,,1,1,FAILED,13276427,2,CIFAR-10,MobileNetV2,128,1,2866.76,55.714,28.286,2992.0,0,13276440.0,13276443.0,0,13.0,16.0,end,[{0: [2]}],2,0,0,0,0,1,1,,0,0
766113,uG1s0,vcKeu,,1,1,FAILED,13276442,246,CIFAR-10,ResNet18,32,1,1649.038,40.667,20.333,2330.0,0,13276500.0,13276747.0,0,58.0,305.0,end,[{0: [2]}],246,0,0,0,0,1,1,,0,0
766129,uG1s0,vcKeu,,1,1,CANCELLED,13277322,10,CIFAR-10,ResNet18,32,1,1649.038,40.667,20.333,2330.0,0,13277340.0,13277351.0,0,18.0,29.0,end,[{0: [2]}],10,0,0,0,0,1,1,,0,0
766131,uG1s0,vcKeu,,1,1,COMPLETED,13277391,200,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,13277400.0,13277601.0,0,9.0,210.0,end,[{0: [2]}],200,0,0,0,0,1,1,,0,0
