job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
765498,uqOgH,vcLTP,,8,1,COMPLETED,13220638,8675,LunarLander,PPO,64,0,14.246,11.949,0.0,2051.0,0,13220638.0,13229314.0,0,0.0,8676.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765669,uAgNR,vcLTP,,4,1,FAILED,13254878,86,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,13254878.0,13254965.0,0,0.0,87.0,end,"[{0: [0, 1, 2, 3]}]",-1,0,0,0,0,1,1,,0,0
765671,uAgNR,vcLTP,,4,1,CANCELLED,13255042,4575,LunarLander,PPO,32,0,5.156,12.425,0.0,2051.0,0,13255042.0,13259618.0,0,0.0,4576.0,end,"[{0: [0, 1, 2, 3]}]",-1,0,0,0,0,1,1,,0,0
765674,uqOgH,vcLTP,,1,1,COMPLETED,13255336,2677,BipedalWalker,TD3,64,0,59.807,13.303,0.0,2059.0,0,13255336.0,13258014.0,0,0.0,2678.0,end,[{0: [4]}],-1,0,0,0,0,1,1,,0,0
765677,uqOgH,vcLTP,,8,1,CANCELLED,13255494,2,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,13255494.0,13255497.0,0,0.0,3.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765679,uqOgH,vcLTP,,8,1,COMPLETED,13255586,1503,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,13255586.0,13257090.0,0,0.0,1504.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765682,uqOgH,vcLTP,,8,1,COMPLETED,13255887,2535,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,13255887.0,13258423.0,0,0.0,2536.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765747,uAgNR,vcLTP,,4,1,CANCELLED,13259207,22,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,13259207.0,13259230.0,0,0.0,23.0,end,"[{0: [4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765749,uAgNR,vcLTP,,4,1,COMPLETED,13259271,25364,LSUN,DCGAN,32,1,1561.581,34.9,11.8,2730.0,0,13259271.0,13284636.0,0,0.0,25365.0,end,"[{0: [4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765766,uqOgH,vcLTP,,1,1,CANCELLED,13259693,2,LunarLander,PPO,64,0,14.246,11.949,0.0,2051.0,0,13259693.0,13259696.0,0,0.0,3.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
