job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
765498,uqOgH,vcLTP,,8,1,COMPLETED,13220638,8675,LunarLander,PPO,64,0,14.246,11.949,0.0,2051.0,0,13220640.0,13229316.0,0,2.0,8678.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",69400,0,0,0,0,1,1,,0,0
765669,uAgNR,vcLTP,,4,1,FAILED,13254878,86,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,13254900.0,13254987.0,0,22.0,109.0,end,"[{0: [0, 1, 2, 3]}]",344,0,0,0,0,1,1,,0,0
765671,uAgNR,vcLTP,,4,1,CANCELLED,13255042,4575,LunarLander,PPO,32,0,5.156,12.425,0.0,2051.0,0,13255080.0,13259656.0,0,38.0,4614.0,end,"[{0: [0, 1, 2, 3]}]",18300,0,0,0,0,1,1,,0,0
765674,uqOgH,vcLTP,,1,1,COMPLETED,13255336,2677,BipedalWalker,TD3,64,0,59.807,13.303,0.0,2059.0,0,13255380.0,13258058.0,0,44.0,2722.0,end,[{0: [4]}],2677,0,0,0,0,1,1,,0,0
765677,uqOgH,vcLTP,,8,1,CANCELLED,13255494,2,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,13255500.0,13255503.0,0,6.0,9.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",16,0,0,0,0,1,1,,0,0
765679,uqOgH,vcLTP,,8,1,COMPLETED,13255586,1503,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,13255620.0,13257124.0,0,34.0,1538.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",12024,0,0,0,0,1,1,,0,0
765682,uqOgH,vcLTP,,8,1,COMPLETED,13255887,2535,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,13255920.0,13258456.0,0,33.0,2569.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",20280,0,0,0,0,1,1,,0,0
765747,uAgNR,vcLTP,,4,1,CANCELLED,13259207,22,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,13259220.0,13259243.0,0,13.0,36.0,end,"[{0: [4, 5, 6, 7]}]",88,0,0,0,0,1,1,,0,0
765749,uAgNR,vcLTP,,4,1,COMPLETED,13259271,25364,LSUN,DCGAN,32,1,1561.581,34.9,11.8,2730.0,0,13259280.0,13284645.0,0,9.0,25374.0,end,"[{0: [4, 5, 6, 7]}]",101456,0,0,0,0,1,1,,0,0
765766,uqOgH,vcLTP,,1,1,CANCELLED,13259693,2,LunarLander,PPO,64,0,14.246,11.949,0.0,2051.0,0,13259700.0,13259703.0,0,7.0,10.0,end,[{0: [0]}],2,0,0,0,0,1,1,,0,0
765767,uAgNR,vcLTP,,1,1,COMPLETED,13259703,30164,Wikitext2,LSTM,64,0,4496.071,97.0,74.875,3884.0,0,13259760.0,13289925.0,0,57.0,30222.0,end,[{0: [0]}],30164,0,0,0,0,1,1,,0,0
765772,uqOgH,vcLTP,,1,1,COMPLETED,13259797,2157,LunarLander,PPO,32,0,5.156,12.425,0.0,2051.0,0,13259820.0,13261978.0,0,23.0,2181.0,end,[{0: [1]}],2157,0,0,0,0,1,1,,0,0
765779,uqOgH,vcLTP,,1,1,COMPLETED,13259938,2163,LunarLander,PPO,128,0,46.507,14.96,0.0,2051.0,0,13259940.0,13262104.0,0,2.0,2166.0,end,[{0: [2]}],2163,0,0,0,0,1,1,,0,0
765781,uqOgH,vcLTP,,8,1,COMPLETED,13259991,2558,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,13260000.0,13262559.0,0,9.0,2568.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",20464,0,0,0,0,1,1,,0,0
765802,uqOgH,vcLTP,,8,1,CANCELLED,13260849,2,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,13260900.0,13260903.0,0,51.0,54.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",16,0,0,0,0,1,1,,0,0
765803,uqOgH,vcLTP,,8,1,CANCELLED,13260855,12,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,13260900.0,13260913.0,0,45.0,58.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}]",96,0,0,0,0,1,1,,0,0
765804,uqOgH,vcLTP,,8,1,FAILED,13260890,268,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,13260900.0,13261169.0,0,10.0,279.0,end,"[{4: [0, 1, 2, 3, 4, 5, 6, 7]}]",2144,0,0,0,0,1,1,,0,0
765807,uqOgH,vcLTP,,8,1,FAILED,13260947,302,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,13260960.0,13261263.0,0,13.0,316.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",2416,0,0,0,0,1,1,,0,0
