job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
765583,uhGr6,vcWoR,,4,16,COMPLETED,13226342,32767,LSUN,DCGAN,64,1,2936.807,47.5,17.167,2330.0,0,13226400.0,13259168.0,0,58.0,32826.0,end,"[{0: [0, 1, 2, 3]}]",131068,0,0,0,0,1,1,,0,0
765618,uhGr6,vcWoR,,8,32,COMPLETED,13245280,23046,Wikitext2,LSTM,64,0,4496.071,97.0,74.875,3884.0,0,13245300.0,13268347.0,0,20.0,23067.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",184368,0,0,0,0,1,1,,0,0
765691,uhGr6,vcWoR,,2,8,CANCELLED,13257288,23,CIFAR-10,ResNet18,32,1,1649.038,40.667,20.333,2330.0,0,13257300.0,13257324.0,0,12.0,36.0,end,"[{0: [4, 5]}]",46,0,0,0,0,1,1,,0,0
765692,uhGr6,vcWoR,,4,16,FAILED,13257335,10,MovieLens,NeuMF,128,1,23040.359,9.643,1.983,2050.0,0,13257360.0,13257371.0,0,25.0,36.0,end,"[{0: [4, 5, 6, 7]}]",40,0,0,0,0,1,1,,0,0
765699,uhGr6,vcWoR,,4,16,CANCELLED,13257493,9394,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,13257540.0,13266935.0,0,47.0,9442.0,end,"[{0: [4, 5, 6, 7]}]",37576,0,0,0,0,1,1,,0,0
765700,u61aB,vcWoR,,4,32,CANCELLED,13257513,18068,Multi30k,Transformer,64,0,857.9,75.164,31.806,11801.104,0,13257540.0,13275609.0,0,27.0,18096.0,end,"[{2: [0, 1, 2, 3]}]",72272,0,0,0,0,1,1,,0,0
765705,uNIdB,vcWoR,,2,8,CANCELLED,13257671,3,CIFAR-10,MobileNetV2,128,0,3516.037,98.833,65.333,4078.0,0,13257720.0,13257724.0,0,49.0,53.0,end,"[{2: [4, 5]}]",6,0,0,0,0,1,1,,0,0
765706,uNIdB,vcWoR,,8,32,FAILED,13257758,15,ShapeNet,PointNet,64,0,138.049,7.75,6.571,6346.0,0,13257780.0,13257796.0,0,22.0,38.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}]",120,0,0,0,0,1,1,,0,0
765726,uNIdB,vcWoR,,8,32,CANCELLED,13258362,37,LunarLander,PPO,32,0,5.156,12.425,0.0,2051.0,0,13258380.0,13258418.0,0,18.0,56.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}]",296,0,0,0,0,1,1,,0,0
765770,u0DzF,vcWoR,,2,1,CANCELLED,13259747,44,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,13259760.0,13259805.0,0,13.0,58.0,end,"[{0: [0, 1]}]",88,0,0,0,0,1,1,,0,0
