job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
765877,uzjut,vcYVn,,8,1,FAILED,13266386,398,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,13266386.0,13266784.0,0,0.0,398.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765890,uzjut,vcYVn,,8,1,CANCELLED,13266855,356,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,13266855.0,13267211.0,0,0.0,356.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765891,upQci,vcYVn,,8,1,COMPLETED,13266935,7,CIFAR-10,EfficientNet,128,0,3465.072,44.833,16.167,2580.0,0,13266935.0,13266942.0,0,0.0,7.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765892,upQci,vcYVn,,8,1,FAILED,13266949,288,CIFAR-10,EfficientNet,128,1,2802.744,33.571,7.286,2358.0,0,13266949.0,13267237.0,0,0.0,288.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765894,uGNXA,vcYVn,,4,4,COMPLETED,13267022,263309,SQuAD,BERT,32,1,119.911,99.593,74.23,16334.0,0,13267022.0,13530331.0,0,0.0,263309.0,end,"[{2: [0, 1, 2, 3]}]",-1,0,0,0,0,1,1,,0,0
765896,uzjut,vcYVn,,8,1,CANCELLED,13267242,858,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,13267242.0,13268100.0,0,0.0,858.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765903,uzjut,vcYVn,,8,1,COMPLETED,13267869,2294,MovieLens,NeuMF,128,0,29773.989,10.483,2.011,2050.0,0,13267869.0,13270163.0,0,0.0,2294.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765909,uzjut,vcYVn,,8,1,COMPLETED,13268139,2287,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,13268139.0,13270426.0,0,0.0,2287.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765915,upQci,vcYVn,,8,1,FAILED,13268659,284,CIFAR-10,EfficientNet,128,0,3465.072,44.833,16.167,2580.0,0,13268659.0,13268943.0,0,0.0,284.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765917,uzjut,vcYVn,,8,1,COMPLETED,13268718,2222,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,13268718.0,13270940.0,0,0.0,2222.0,end,"[{4: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765958,u1Eem,vcYVn,,32,160,COMPLETED,13270686,495257,ImageNet,MobileNetV3,32,1,978.255,34.966,7.931,2382.0,0,13270686.0,13765943.0,0,0.0,495257.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}, {5: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765980,uJjMX,vcYVn,,8,8,COMPLETED,13271638,2124,LunarLander,PPO,128,0,46.507,14.96,0.0,2051.0,0,13271638.0,13273762.0,0,0.0,2124.0,end,"[{4: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
