job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
765877,uzjut,vcYVn,,8,1,FAILED,13266386,398,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,13266420.0,13266819.0,0,34.0,433.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",3184,0,0,0,0,1,1,,0,0
765890,uzjut,vcYVn,,8,1,CANCELLED,13266855,356,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,13266900.0,13267257.0,0,45.0,402.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",2848,0,0,0,0,1,1,,0,0
765891,upQci,vcYVn,,8,1,COMPLETED,13266935,7,CIFAR-10,EfficientNet,128,0,3465.072,44.833,16.167,2580.0,0,13266960.0,13266968.0,0,25.0,33.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",56,0,0,0,0,1,1,,0,0
765892,upQci,vcYVn,,8,1,FAILED,13266949,288,CIFAR-10,EfficientNet,128,1,2802.744,33.571,7.286,2358.0,0,13266960.0,13267249.0,0,11.0,300.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",2304,0,0,0,0,1,1,,0,0
765894,uGNXA,vcYVn,,4,4,COMPLETED,13267022,263309,SQuAD,BERT,32,1,119.911,99.593,74.23,16334.0,0,13267080.0,13530390.0,0,58.0,263368.0,end,"[{1: [0, 1, 2, 3]}]",1053236,0,0,0,0,1,1,,0,0
765896,uzjut,vcYVn,,8,1,CANCELLED,13267242,858,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,13267260.0,13268119.0,0,18.0,877.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",6864,0,0,0,0,1,1,,0,0
765903,uzjut,vcYVn,,8,1,COMPLETED,13267869,2294,MovieLens,NeuMF,128,0,29773.989,10.483,2.011,2050.0,0,13267920.0,13270215.0,0,51.0,2346.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",18352,0,0,0,0,1,1,,0,0
765909,uzjut,vcYVn,,8,1,COMPLETED,13268139,2287,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,13268160.0,13270448.0,0,21.0,2309.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",18296,0,0,0,0,1,1,,0,0
765915,upQci,vcYVn,,8,1,FAILED,13268659,284,CIFAR-10,EfficientNet,128,0,3465.072,44.833,16.167,2580.0,0,13268700.0,13268985.0,0,41.0,326.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}]",2272,0,0,0,0,1,1,,0,0
765917,uzjut,vcYVn,,8,1,COMPLETED,13268718,2222,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,13268760.0,13270983.0,0,42.0,2265.0,end,"[{4: [0, 1, 2, 3, 4, 5, 6, 7]}]",17776,0,0,0,0,1,1,,0,0
