job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
765792,ulqKP,vcgkz,,8,40,COMPLETED,13260350,527067,ImageNet,MobileNetV3,128,1,3482.526,86.121,33.939,3216.0,0,13260360.0,13787428.0,0,10.0,527078.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",4216536,0,0,0,0,1,1,,0,0
772982,uhSlK,vcgkz,,8,1,COMPLETED,13815331,2,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,13815360.0,13815363.0,0,29.0,32.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",16,0,0,0,0,1,1,,0,0
772984,uhSlK,vcgkz,,8,1,FAILED,13815343,26,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,13815420.0,13815447.0,0,77.0,104.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",208,0,0,0,0,1,1,,0,0
773459,ubfUm,vcgkz,,8,1,FAILED,13865866,76,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,13865880.0,13865957.0,0,14.0,91.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",608,0,0,0,0,1,1,,0,0
773476,ubfUm,vcgkz,,8,1,CANCELLED,13866559,1043,CIFAR-10,MobileNetV2,64,1,1710.877,41.833,16.167,2528.0,0,13866600.0,13867644.0,0,41.0,1085.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",8344,0,0,0,0,1,1,,0,0
773489,ubfUm,vcgkz,,8,1,FAILED,13867616,81,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,13867680.0,13867762.0,0,64.0,146.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",648,0,0,0,0,1,1,,0,0
773492,ubfUm,vcgkz,,8,1,FAILED,13868035,72,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,13868040.0,13868113.0,0,5.0,78.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",576,0,0,0,0,1,1,,0,0
773493,ubfUm,vcgkz,,8,1,FAILED,13868260,74,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,13868280.0,13868355.0,0,20.0,95.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",592,0,0,0,0,1,1,,0,0
773497,ubfUm,vcgkz,,8,1,FAILED,13869049,78,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,13869060.0,13869139.0,0,11.0,90.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",624,0,0,0,0,1,1,,0,0
773679,ubfUm,vcgkz,,8,1,FAILED,13876171,74,CIFAR-10,VGG,32,0,2998.72,44.0,23.0,3386.0,0,13876200.0,13876275.0,0,29.0,104.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",592,0,0,0,0,1,1,,0,0
773682,ubfUm,vcgkz,,8,1,FAILED,13876284,72,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,13876320.0,13876393.0,0,36.0,109.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",576,0,0,0,0,1,1,,0,0
773687,ubfUm,vcgkz,,8,1,CANCELLED,13876467,267,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,13876500.0,13876768.0,0,33.0,301.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",2136,0,0,0,0,1,1,,0,0
773715,ubfUm,vcgkz,,8,1,FAILED,13876776,153,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,13876800.0,13876954.0,0,24.0,178.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",1224,0,0,0,0,1,1,,0,0
773727,ubfUm,vcgkz,,8,1,CANCELLED,13877296,790,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,13877340.0,13878131.0,0,44.0,835.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",6320,0,0,0,0,1,1,,0,0
773738,ubfUm,vcgkz,,8,1,FAILED,13878095,73,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,13878180.0,13878254.0,0,85.0,159.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",584,0,0,0,0,1,1,,0,0
773762,ubfUm,vcgkz,,8,1,CANCELLED,13878247,9533,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,13878300.0,13887834.0,0,53.0,9587.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",76264,0,0,0,0,1,1,,0,0
774295,ubfUm,vcgkz,,8,1,FAILED,13887794,74,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,13887840.0,13887915.0,0,46.0,121.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",592,0,0,0,0,1,1,,0,0
774330,ubfUm,vcgkz,,8,1,FAILED,13888535,75,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,13888560.0,13888636.0,0,25.0,101.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",600,0,0,0,0,1,1,,0,0
774565,ubfUm,vcgkz,,8,1,FAILED,13896479,63,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,13896480.0,13896544.0,0,1.0,65.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",504,0,0,0,0,1,1,,0,0
774571,ubfUm,vcgkz,,8,1,FAILED,13896598,75,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,13896600.0,13896676.0,0,2.0,78.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",600,0,0,0,0,1,1,,0,0
774585,ubfUm,vcgkz,,8,1,FAILED,13897403,71,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,13897440.0,13897512.0,0,37.0,109.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",568,0,0,0,0,1,1,,0,0
