job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
765563,uH3om,vcvGl,,128,128,CANCELLED,13224884,24,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,13224884.0,13224909.0,0,0.0,25.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}, {4: [0, 1, 2, 3, 4, 5, 6, 7]}, {5: [0, 1, 2, 3, 4, 5, 6, 7]}, {6: [0, 1, 2, 3, 4, 5, 6, 7]}, {7: [0, 1, 2, 3, 4, 5, 6, 7]}, {8: [0, 1, 2, 3, 4, 5, 6, 7]}, {9: [0, 1, 2, 3, 4, 5, 6, 7]}, {10: [0, 1, 2, 3, 4, 5, 6, 7]}, {11: [0, 1, 2, 3, 4, 5, 6, 7]}, {12: [0, 1, 2, 3, 4, 5, 6, 7]}, {13: [0, 1, 2, 3, 4, 5, 6, 7]}, {14: [0, 1, 2, 3, 4, 5, 6, 7]}, {15: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765565,uJjMX,vcvGl,,16,80,CANCELLED,13224891,46520,ImageNet,MobileNetV3,64,0,2537.436,80.522,44.261,3266.0,0,13224891.0,13271412.0,0,0.0,46521.0,end,"[{16: [0, 1, 2, 3, 4, 5, 6, 7]}, {17: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765566,uH3om,vcvGl,,128,128,COMPLETED,13224916,56269,ImageNet,MobileNetV3,32,1,978.255,34.966,7.931,2382.0,0,13224916.0,13281186.0,0,0.0,56270.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}, {4: [0, 1, 2, 3, 4, 5, 6, 7]}, {5: [0, 1, 2, 3, 4, 5, 6, 7]}, {6: [0, 1, 2, 3, 4, 5, 6, 7]}, {7: [0, 1, 2, 3, 4, 5, 6, 7]}, {8: [0, 1, 2, 3, 4, 5, 6, 7]}, {9: [0, 1, 2, 3, 4, 5, 6, 7]}, {10: [0, 1, 2, 3, 4, 5, 6, 7]}, {11: [0, 1, 2, 3, 4, 5, 6, 7]}, {12: [0, 1, 2, 3, 4, 5, 6, 7]}, {13: [0, 1, 2, 3, 4, 5, 6, 7]}, {14: [0, 1, 2, 3, 4, 5, 6, 7]}, {15: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765971,uJjMX,vcvGl,,16,16,COMPLETED,13271408,539,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,13271408.0,13271948.0,0,0.0,540.0,end,"[{18: [0, 1, 2, 3, 4, 5, 6, 7]}, {19: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765991,uJjMX,vcvGl,,2,1,FAILED,13271951,176,CIFAR-10,VGG,32,1,3556.88,48.0,19.0,2762.0,0,13271951.0,13272128.0,0,0.0,177.0,end,"[{16: [0, 1]}]",-1,0,0,0,0,1,1,,0,0
765992,uJjMX,vcvGl,,8,40,CANCELLED,13271956,172,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,13271956.0,13272129.0,0,0.0,173.0,end,"[{17: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
765997,uJjMX,vcvGl,,16,80,CANCELLED,13272133,141,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,13272133.0,13272275.0,0,0.0,142.0,end,"[{16: [0, 1, 2, 3, 4, 5, 6, 7]}, {17: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
766001,uJjMX,vcvGl,,2,1,COMPLETED,13272272,224,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,13272272.0,13272497.0,0,0.0,225.0,end,"[{18: [0, 1]}]",-1,0,0,0,0,1,1,,0,0
766002,uJjMX,vcvGl,,8,40,CANCELLED,13272284,217,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,13272284.0,13272502.0,0,0.0,218.0,end,"[{16: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
766008,uJjMX,vcvGl,,16,80,CANCELLED,13272506,141,CIFAR-10,EfficientNet,128,0,3465.072,44.833,16.167,2580.0,0,13272506.0,13272648.0,0,0.0,142.0,end,"[{16: [0, 1, 2, 3, 4, 5, 6, 7]}, {17: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
